"Six Digit Industries","Year","Capital productivity (2007=100)","Capital productivity (percent change)","Capital (2007=100)","Capital (percent change)","Capital costs (Million $)","Capital costs (percent change)","Capital cost share","Capital cost share (percent change)","Capital intensity (2007=100)","Capital intensity (percent change)","Contribution of capital intensity (2007=100)","Contribution of capital intensity (percent change)","Labor productivity (2007=100)","Labor productivity (percent change)","Hours worked (2007=100)","Hours worked (percent change)","Labor compensation (Million $)","Labor compensation (percent change)","Labor cost share","Labor cost share (percent change)","Hours worked (millions)","Hours worked (percent change)","Multifactor productivity (2007=100)","Multifactor productivity (percent change)","Combined inputs (2007=100)","Combined inputs (percent change)","Combined inputs costs (Million $)","Combined inputs costs (percent change)","Implicit combined inputs deflator (2007=100)","Implicit combined inputs deflator (percent change)","Intermediate purchases productivity (2007=100)","Intermediate purchases productivity (percent change)","Intermediate purchases (2007=100)","Intermediate purchases (percent change)","Intermediate purchases costs (Million $)","Intermediate purchases costs (percent change)","Intermediate purchases cost share","Intermediate purchases cost share (percent change)","Intermediate purchases to hours ratio (2007=100)","Intermediate purchases to hours ratio (percent change)","Contribution of intermediate purchases intensity (2007=100)","Contribution of intermediate purchases intensity (percent change)","Output (2007=100)","Output (percent change)","Implicit output deflator (2007=100)","Implicit output deflator (percent change)","Value of production (Million $)","Value of production (percent change)","Unit labor costs (2007=100)","Unit labor costs (percent change)","Labor compensation (2007=100)","Labor compensation (percent change)","Hourly compensation (2007=100)","Hourly compensation (percent change)","Output per employee (2007=100)","Output per employee (percent change)","Employment (2007=100)","Employment (percent change)","Employment (thousands)","Employment (percent change)"
336411 - Aircraft manufacturing,2003,,,,,,,,,,,,,81.134,-6.9,85.348,-6.0,13140.473,-0.5,,,397.861,-6.0,,,,,,,,,,,,,,,,,,,,,69.247,-12.5,87.159,3.0,56297.613,-9.9,113.127,13.7,78.337,-0.5,91.785,5.9,76.043,-8.2,91.063,-4.7,209.900,-4.7
336411 - Aircraft manufacturing,2004,,,,,,,,,,,,,78.856,-2.8,84.699,-0.8,13724.280,4.4,,,394.834,-0.8,,,,,,,,,,,,,,,,,,,,,66.790,-3.5,90.524,3.9,56396.902,0.2,122.499,8.3,81.817,4.4,96.598,5.2,74.265,-2.3,89.935,-1.2,207.300,-1.2
336411 - Aircraft manufacturing,2005,,,,,,,,,,,,,83.231,5.5,88.687,4.7,14152.717,3.1,,,413.425,4.7,,,,,,,,,,,,,,,,,,,,,73.815,10.5,95.376,5.4,65669.562,16.4,114.300,-6.7,84.371,3.1,95.134,-1.5,80.295,8.1,91.931,2.2,211.900,2.2
336411 - Aircraft manufacturing,2006,,,,,,,,,,,,,79.395,-4.6,94.156,6.2,14194.633,0.3,,,438.921,6.2,,,,,,,,,,,,,,,,,,,,,74.755,1.3,98.815,3.6,68903.935,4.9,113.197,-1.0,84.621,0.3,89.873,-5.5,77.653,-3.3,96.269,4.7,221.900,4.7
336411 - Aircraft manufacturing,2007,,,,,,,,,,,,,100.000,26.0,100.000,6.2,16774.334,18.2,,,466.161,6.2,,,,,,,,,,,,,,,,,,,,,100.000,33.8,100.000,1.2,93277.649,35.4,100.000,-11.7,100.000,18.2,100.000,11.3,100.000,28.8,100.000,3.9,230.500,3.9
336411 - Aircraft manufacturing,2008,,,,,,,,,,,,,95.672,-4.3,101.702,1.7,18871.322,12.5,,,474.095,1.7,,,,,,,,,,,,,,,,,,,,,97.300,-2.7,102.548,2.5,93071.627,-0.2,115.623,15.6,112.501,12.5,110.618,10.6,94.392,-5.6,103.080,3.1,237.600,3.1
336411 - Aircraft manufacturing,2009,,,,,,,,,,,,,86.940,-9.1,103.988,2.2,17621.899,-6.6,,,484.750,2.2,,,,,,,,,,,,,,,,,,,,,90.407,-7.1,103.998,1.4,87700.282,-5.8,116.200,0.5,105.053,-6.6,101.024,-8.7,88.600,-6.1,102.039,-1.0,235.200,-1.0
336411 - Aircraft manufacturing,2010,,,,,,,,,,,,,99.573,14.5,99.204,-4.6,18119.351,2.8,,,462.449,-4.6,,,,,,,,,,,,,,,,,,,,,98.780,9.3,105.100,1.1,96839.401,10.4,109.352,-5.9,108.018,2.8,108.885,7.8,99.732,12.6,99.046,-2.9,228.300,-2.9
336411 - Aircraft manufacturing,2011,,,,,,,,,,,,,89.885,-9.7,103.483,4.3,19335.569,6.7,,,482.395,4.3,,,,,,,,,,,,,,,,,,,,,93.015,-5.8,108.620,3.3,94241.829,-2.7,123.924,13.3,115.269,6.7,111.390,2.3,91.468,-8.3,101.692,2.7,234.400,2.7
336411 - Aircraft manufacturing,2012,,,,,,,,,,,,,106.182,18.1,104.636,1.1,20244.765,4.7,,,487.771,1.1,,,,,,,,,,,,,,,,,,,,,111.104,19.4,110.788,2.0,114815.997,21.8,108.627,-12.3,120.689,4.7,115.342,3.5,106.885,16.9,103.948,2.2,239.600,2.2
336411 - Aircraft manufacturing,2013,,,,,,,,,,,,,110.450,4.0,103.915,-0.7,20865.987,3.1,,,484.412,-0.7,,,,,,,,,,,,,,,,,,,,,114.775,3.3,112.440,1.5,120377.445,4.8,108.380,-0.2,124.392,3.1,119.706,3.8,110.739,3.6,103.644,-0.3,238.900,-0.3
336411 - Aircraft manufacturing,2014,,,,,,,,,,,,,119.925,8.6,101.864,-2.0,21266.043,1.9,,,474.852,-2.0,,,,,,,,,,,,,,,,,,,,,122.160,6.4,114.151,1.5,130073.353,8.1,103.779,-4.2,126.777,1.9,124.457,4.0,119.465,7.9,102.256,-1.3,235.700,-1.3
336411 - Aircraft manufacturing,2015,,,,,,,,,,,,,122.916,2.5,100.800,-1.0,22521.951,5.9,,,469.890,-1.0,,,,,,,,,,,,,,,,,,,,,123.899,1.4,115.378,1.1,133342.613,2.5,108.366,4.4,134.264,5.9,133.199,7.0,122.255,2.3,101.345,-0.9,233.600,-0.9
336411 - Aircraft manufacturing,2016,,,,,,,,,,,,,111.572,-9.2,99.126,-1.7,22451.756,-0.3,,,462.086,-1.7,,,,,,,,,,,,,,,,,,,,,110.597,-10.7,116.803,1.2,120496.536,-9.6,121.021,11.7,133.846,-0.3,135.026,1.4,110.024,-10.0,100.521,-0.8,231.700,-0.8
336411 - Aircraft manufacturing,2017,,,,,,,,,,,,,133.495,19.6,94.903,-4.3,22956.467,2.2,,,442.400,-4.3,,,,,,,,,,,,,,,,,,,,,126.690,14.6,118.446,1.4,139972.553,16.2,108.023,-10.7,136.855,2.2,144.205,6.8,130.834,18.9,96.833,-3.7,223.200,-3.7
336411 - Aircraft manufacturing,2018,,,,,,,,,,,,,128.162,-4.0,100.356,5.7,23468.642,2.2,,,467.823,5.7,,,,,,,,,,,,,,,,,,,,,128.619,1.5,120.774,2.0,144896.479,3.5,108.777,0.7,139.908,2.2,139.411,-3.3,128.063,-2.1,100.434,3.7,231.500,3.7
336411 - Aircraft manufacturing,2019,,,,,,,,,,,,,121.757,-5.0,103.086,2.7,24157.412,2.9,,,480.548,2.7,,,,,,,,,,,,,,,,,,,,,125.515,-2.4,123.177,2.0,144212.279,-0.5,114.739,5.5,144.014,2.9,139.702,0.2,119.848,-6.4,104.729,4.3,241.400,4.3
336411 - Aircraft manufacturing,2020,,,,,,,,,,,,,,,92.415,-10.4,,,,,430.804,-10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.390,-4.1,231.400,-4.1
336510 - Railroad rolling stock manufacturing,1987,30.491,,110.485,,82.852,,0.033,,124.797,,97.351,,38.052,,88.532,,935.811,,0.378,,50.882,,86.385,,38.998,,2476.067,,55.383,,128.571,,26.202,,1457.404,,0.589,,29.596,,45.248,,33.688,,64.112,,2476.067,,131.035,,44.144,,49.862,,36.680,,91.844,,25.900,
336510 - Railroad rolling stock manufacturing,1988,40.987,34.4,108.628,-1.7,88.707,7.1,0.027,-18.2,104.867,-16.0,96.842,-0.5,42.982,13.0,103.586,17.0,1090.934,16.6,0.330,-12.7,59.534,17.0,88.089,2.0,50.544,29.6,3307.872,33.6,57.087,3.1,121.965,-5.1,36.505,39.3,2128.231,46.0,0.643,9.2,35.241,19.1,50.385,11.4,44.524,32.2,64.806,1.1,3307.872,33.6,115.581,-11.8,51.461,16.6,49.679,-0.4,43.295,18.0,102.837,12.0,29.000,12.0
336510 - Railroad rolling stock manufacturing,1989,53.581,30.7,107.790,-0.8,238.696,169.1,0.053,96.3,95.019,-9.4,96.464,-0.4,50.912,18.4,113.441,9.5,1268.435,16.3,0.280,-15.2,65.198,9.5,90.561,2.8,63.775,26.2,4537.288,37.2,62.058,8.7,115.704,-5.1,49.916,36.7,3030.157,42.4,0.668,3.9,44.002,24.9,58.280,15.7,57.755,29.7,68.527,5.7,4537.288,37.2,103.599,-10.4,59.834,16.3,52.744,6.2,52.035,20.2,110.993,7.9,31.300,7.9
336510 - Railroad rolling stock manufacturing,1990,54.879,2.4,106.312,-1.4,62.536,-73.8,0.013,-75.5,99.183,4.4,96.600,0.1,54.431,6.9,107.188,-5.5,1348.102,6.3,0.283,1.1,61.605,-5.5,87.986,-2.8,66.310,4.0,4767.124,5.1,62.710,1.1,107.819,-6.8,54.112,8.4,3356.487,10.8,0.704,5.4,50.483,14.7,64.040,9.9,58.343,1.0,71.272,4.0,4767.124,5.1,108.996,5.2,63.592,6.3,59.327,12.5,53.074,2.0,109.929,-1.0,31.000,-1.0
336510 - Railroad rolling stock manufacturing,1991,52.804,-3.8,103.669,-2.5,50.267,-19.6,0.011,-15.4,107.762,8.6,96.696,0.1,56.902,4.5,96.202,-10.2,1328.415,-1.5,0.288,1.8,55.290,-10.3,87.777,-0.2,62.364,-6.0,4609.890,-3.3,64.478,2.8,105.601,-2.1,51.837,-4.2,3231.208,-3.7,0.701,-0.4,53.884,6.7,67.041,4.7,54.741,-6.2,73.457,3.1,4609.890,-3.3,114.472,5.0,62.663,-1.5,65.137,9.8,55.132,3.9,99.291,-9.7,28.000,-9.7
336510 - Railroad rolling stock manufacturing,1992,51.852,-1.8,102.815,-0.8,51.399,2.3,0.011,0.0,111.745,3.7,96.735,0.0,57.942,1.8,92.009,-4.4,1307.668,-1.6,0.288,0.0,52.881,-4.4,87.996,0.2,60.585,-2.9,4543.825,-1.4,65.421,1.5,105.222,-0.4,50.666,-2.3,3184.758,-1.4,0.701,0.0,55.066,2.2,68.069,1.5,53.312,-2.6,74.345,1.2,4543.825,-1.4,115.705,1.1,61.685,-1.6,67.042,2.9,56.097,1.8,95.035,-4.3,26.800,-4.3
336510 - Railroad rolling stock manufacturing,1993,58.508,12.8,102.518,-0.3,319.325,521.3,0.062,463.6,100.080,-10.4,96.346,-0.4,58.555,1.1,102.436,11.3,1372.380,4.9,0.266,-7.6,58.873,11.3,91.087,3.5,65.851,8.7,5162.896,13.6,68.389,4.5,109.473,4.0,54.791,8.1,3471.190,9.0,0.672,-4.1,53.488,-2.9,66.723,-2.0,59.981,12.5,75.082,1.0,5162.896,13.6,107.929,-6.7,64.737,4.9,63.198,-5.7,58.327,4.0,102.837,8.2,29.000,8.2
336510 - Railroad rolling stock manufacturing,1994,70.338,20.2,102.241,-0.3,584.626,83.1,0.092,48.4,83.230,-16.8,94.992,-1.4,58.543,0.0,122.841,19.9,1536.296,11.9,0.241,-9.4,70.601,19.9,92.490,1.5,77.753,18.1,6382.113,23.6,71.598,4.7,109.672,0.2,65.572,19.7,4261.190,22.8,0.668,-0.6,53.380,-0.2,66.633,-0.1,71.914,19.9,77.411,3.1,6382.113,23.6,100.772,-6.6,72.469,11.9,58.994,-6.7,62.400,7.0,115.248,12.1,32.500,12.1
336510 - Railroad rolling stock manufacturing,1995,72.869,3.6,103.408,1.1,482.439,-17.5,0.069,-25.0,79.603,-4.4,94.653,-0.4,58.006,-0.9,129.904,5.7,1602.749,4.3,0.229,-5.0,74.660,5.7,89.209,-3.5,84.467,8.6,7002.141,9.7,72.310,1.0,103.936,-5.2,72.498,10.6,4916.953,15.4,0.702,5.1,55.809,4.6,68.695,3.1,75.352,4.8,81.057,4.7,7002.141,9.7,100.334,-0.4,75.604,4.3,58.200,-1.3,60.886,-2.4,123.759,7.4,34.900,7.4
336510 - Railroad rolling stock manufacturing,1996,69.769,-4.3,101.741,-1.6,646.024,33.9,0.096,39.1,82.380,3.5,94.921,0.3,57.475,-0.9,123.502,-4.9,1615.614,0.8,0.241,5.2,70.981,-4.9,91.515,2.6,77.564,-8.2,6716.559,-4.1,75.533,4.5,108.807,4.7,65.238,-10.0,4454.921,-9.4,0.663,-5.6,52.824,-5.3,66.164,-3.7,70.983,-5.8,82.536,1.8,6716.559,-4.1,107.364,7.0,76.211,0.8,61.708,6.0,59.932,-1.6,118.440,-4.3,33.400,-4.3
336510 - Railroad rolling stock manufacturing,1997,80.783,15.8,103.903,2.1,1047.260,62.1,0.134,39.6,87.581,6.3,95.593,0.7,70.751,23.1,118.636,-3.9,1739.666,7.7,0.223,-7.5,68.184,-3.9,101.092,10.5,83.029,7.0,7808.570,16.3,82.035,8.6,114.710,5.4,73.172,12.2,5021.644,12.7,0.643,-3.0,61.678,16.8,73.212,10.7,83.936,18.2,81.148,-1.7,7808.570,16.3,97.768,-8.9,82.062,7.7,69.172,12.1,73.968,23.4,113.475,-4.2,32.000,-4.2
336510 - Railroad rolling stock manufacturing,1998,85.203,5.5,107.726,3.7,1337.002,27.7,0.156,16.4,85.816,-2.0,95.311,-0.3,73.118,3.3,125.531,5.8,1895.750,9.0,0.222,-0.4,72.147,5.8,104.239,3.1,88.053,6.1,8548.567,9.5,84.685,3.2,117.574,2.5,78.066,6.7,5315.816,5.9,0.622,-3.3,62.189,0.8,73.595,0.5,91.785,9.4,81.241,0.1,8548.567,9.5,97.429,-0.3,89.425,9.0,71.238,3.0,74.165,0.3,123.759,9.1,34.900,9.1
336510 - Railroad rolling stock manufacturing,1999,92.677,8.8,109.641,1.8,1770.591,32.4,0.186,19.2,88.569,3.2,95.828,0.5,82.083,12.3,123.791,-1.4,2012.039,6.1,0.212,-4.5,71.147,-1.4,109.981,5.5,92.389,4.9,9494.857,11.1,89.644,5.9,120.322,2.3,84.450,8.2,5712.227,7.5,0.602,-3.2,68.219,9.7,77.882,5.8,101.611,10.7,81.508,0.3,9494.857,11.1,93.406,-4.1,94.911,6.1,76.670,7.6,81.174,9.5,125.177,1.1,35.300,1.1
336510 - Railroad rolling stock manufacturing,2000,87.359,-5.7,109.820,0.2,1801.185,1.7,0.200,7.5,96.047,8.4,97.342,1.6,83.906,2.2,114.340,-7.6,1942.246,-3.5,0.216,1.9,65.715,-7.6,112.406,2.2,85.349,-7.6,8997.379,-5.2,91.954,2.6,126.254,4.9,75.988,-10.0,5253.949,-8.0,0.584,-3.0,66.458,-2.6,76.684,-1.5,95.937,-5.6,81.806,0.4,8997.379,-5.2,95.498,2.2,91.618,-3.5,80.128,4.5,82.483,1.6,116.312,-7.1,32.800,-7.1
336510 - Railroad rolling stock manufacturing,2001,77.659,-11.1,106.908,-2.7,1394.313,-22.6,0.180,-10.0,114.549,19.3,100.654,3.4,88.957,6.0,93.329,-18.4,1898.921,-2.2,0.245,13.4,53.639,-18.4,111.934,-0.4,74.171,-13.1,7760.624,-13.7,91.267,-0.7,127.280,0.8,65.229,-14.2,4467.391,-15.0,0.576,-1.4,69.891,5.2,78.957,3.0,83.023,-13.5,81.536,-0.3,7760.624,-13.7,107.891,13.0,89.575,-2.2,95.977,19.8,84.218,2.1,98.582,-15.2,27.800,-15.2
336510 - Railroad rolling stock manufacturing,2002,74.672,-3.8,104.602,-2.2,1712.613,22.8,0.236,31.1,137.219,19.8,104.503,3.8,102.464,15.2,76.230,-18.3,1579.988,-16.8,0.218,-11.0,43.812,-18.3,118.272,5.7,66.042,-11.0,7257.381,-6.5,95.856,5.0,134.402,5.6,58.116,-10.9,3964.779,-11.3,0.546,-5.2,76.237,9.1,82.901,5.0,78.109,-5.9,81.047,-0.6,7257.381,-6.5,95.419,-11.6,74.530,-16.8,97.770,1.9,97.896,16.2,79.787,-19.1,22.500,-19.1
336510 - Railroad rolling stock manufacturing,2003,70.251,-5.9,102.207,-2.3,978.833,-42.8,0.146,-38.1,138.746,1.1,104.724,0.2,97.471,-4.9,73.665,-3.4,1522.445,-3.6,0.228,4.6,42.337,-3.4,107.526,-9.1,66.776,1.1,6687.434,-7.9,87.356,-8.9,118.772,-11.6,60.453,4.0,4186.156,5.6,0.626,14.7,82.066,7.6,86.560,4.4,71.802,-8.1,81.242,0.2,6687.434,-7.9,100.020,4.8,71.816,-3.6,97.490,-0.3,89.199,-8.9,80.496,0.9,22.700,0.9
336510 - Railroad rolling stock manufacturing,2004,77.051,9.7,99.117,-3.0,1126.729,15.1,0.154,5.5,118.848,-14.3,102.318,-2.3,91.573,-6.1,83.399,13.2,1525.084,0.2,0.208,-8.8,47.932,13.2,109.527,1.9,69.728,4.4,7320.024,9.5,91.572,4.8,122.238,2.9,62.477,3.3,4668.210,11.5,0.638,1.9,74.914,-8.7,81.714,-5.6,76.371,6.4,83.607,2.9,7320.024,9.5,94.199,-5.8,71.940,0.2,86.261,-11.5,84.789,-4.9,90.071,11.9,25.400,11.9
336510 - Railroad rolling stock manufacturing,2005,90.409,17.3,97.006,-2.1,998.488,-11.4,0.110,-28.6,102.993,-13.3,100.406,-1.9,93.115,1.7,94.187,12.9,1586.993,4.1,0.174,-16.3,54.132,12.9,102.216,-6.7,85.800,23.0,9108.020,24.4,92.596,1.1,106.493,-12.9,82.354,31.8,6522.539,39.7,0.716,12.2,87.437,16.7,90.728,11.0,87.702,14.8,90.588,8.3,9108.020,24.4,85.358,-9.4,74.861,4.1,79.481,-7.9,90.593,6.8,96.809,7.5,27.300,7.5
336510 - Railroad rolling stock manufacturing,2006,102.600,13.5,97.522,0.5,1439.464,44.2,0.132,20.0,98.195,-4.7,99.828,-0.6,100.748,8.2,99.315,5.4,1677.683,5.7,0.154,-11.5,57.079,5.4,105.822,3.5,94.553,10.2,10874.651,19.4,100.322,8.3,107.453,0.9,93.117,13.1,7757.505,18.9,0.713,-0.4,93.760,7.2,95.370,5.1,100.058,14.1,94.803,4.7,10874.651,19.4,79.093,-7.3,79.139,5.7,79.685,0.3,102.233,12.8,97.872,1.1,27.600,1.1
336510 - Railroad rolling stock manufacturing,2007,100.000,-2.5,100.000,2.5,653.111,-54.6,0.057,-56.8,100.000,1.8,100.000,0.2,100.000,-0.7,100.000,0.7,2119.928,26.4,0.185,20.1,57.473,0.7,100.000,-5.5,100.000,5.8,11464.225,5.4,100.000,-0.3,100.000,-6.9,100.000,7.4,8691.185,12.0,0.758,6.3,100.000,6.7,100.000,4.9,100.000,-0.1,100.000,5.5,11464.225,5.4,100.000,26.4,100.000,26.4,100.000,25.5,100.000,-2.2,100.000,2.2,28.200,2.2
336510 - Railroad rolling stock manufacturing,2008,117.027,17.0,100.904,0.9,1257.461,92.5,0.091,59.6,99.476,-0.5,99.961,0.0,116.413,16.4,101.436,1.4,2172.841,2.5,0.157,-15.1,58.298,1.4,109.876,9.9,107.471,7.5,13834.366,20.7,112.285,12.3,107.779,7.8,109.561,9.6,10404.064,19.7,0.752,-0.8,108.011,8.0,105.991,6.0,118.085,18.1,102.193,2.2,13834.366,20.7,86.799,-13.2,102.496,2.5,101.045,1.0,115.625,15.6,102.128,2.1,28.800,2.1
336510 - Railroad rolling stock manufacturing,2009,87.254,-25.4,101.687,0.8,1269.210,0.9,0.121,33.0,124.551,25.2,102.376,2.4,108.676,-6.6,81.643,-19.5,1927.015,-11.3,0.184,17.2,46.923,-19.5,106.542,-3.0,83.278,-22.5,10451.530,-24.5,109.472,-2.5,109.598,1.7,80.956,-26.1,7255.305,-30.3,0.694,-7.7,99.158,-8.2,99.636,-6.0,88.727,-24.9,102.750,0.5,10451.530,-24.5,102.449,18.0,90.900,-11.3,111.338,10.2,108.787,-5.9,81.560,-20.1,23.000,-20.1
336510 - Railroad rolling stock manufacturing,2010,81.803,-6.2,101.556,-0.1,1752.728,38.1,0.177,46.3,147.743,18.6,105.021,2.6,120.858,11.2,68.738,-15.8,1989.390,3.2,0.201,9.2,39.506,-15.8,118.732,11.4,69.969,-16.0,9882.835,-5.4,123.205,12.5,127.105,16.0,65.360,-19.3,6140.717,-15.4,0.621,-10.5,95.086,-4.1,96.925,-2.7,83.076,-6.4,103.768,1.0,9882.835,-5.4,112.960,10.3,93.842,3.2,136.521,22.6,123.302,13.3,67.376,-17.4,19.000,-17.4
336510 - Railroad rolling stock manufacturing,2011,93.492,14.3,104.311,2.7,2159.257,23.2,0.183,3.4,136.510,-7.6,103.533,-1.4,127.626,5.6,76.412,11.2,2126.267,6.9,0.181,-10.0,43.917,11.2,124.076,4.5,78.599,12.3,11769.230,19.1,130.614,6.0,129.046,1.5,75.572,15.6,7483.706,21.9,0.636,2.4,98.900,4.0,99.351,2.5,97.522,17.4,105.269,1.4,11769.230,19.1,102.847,-9.0,100.299,6.9,131.260,-3.9,129.114,4.7,75.532,12.1,21.300,12.1
336510 - Railroad rolling stock manufacturing,2012,115.800,23.9,107.766,3.3,2175.531,0.8,0.140,-23.5,118.252,-13.4,101.159,-2.3,136.935,7.3,91.133,19.3,2374.832,11.7,0.153,-15.5,52.377,19.3,119.618,-3.6,104.326,32.7,15572.668,32.3,130.205,-0.3,114.067,-11.6,109.403,44.8,11022.305,47.3,0.708,11.3,120.048,21.4,113.165,13.9,124.793,28.0,108.850,3.4,15572.668,32.3,89.768,-12.7,112.024,11.7,122.924,-6.4,147.245,14.0,84.752,12.2,23.900,12.2
336510 - Railroad rolling stock manufacturing,2013,128.547,11.0,112.479,4.4,3158.281,45.2,0.172,22.9,115.133,-2.6,100.739,-0.4,148.001,8.1,97.695,7.2,2427.200,2.2,0.132,-13.7,56.148,7.2,122.484,2.4,118.047,13.2,18393.219,18.1,135.912,4.4,113.477,-0.5,127.417,16.5,12807.738,16.2,0.696,-1.7,130.423,8.6,119.946,6.0,144.589,15.9,110.963,1.9,18393.219,18.1,79.186,-11.8,114.494,2.2,117.196,-4.7,162.446,10.3,89.007,5.0,25.100,5.0
336510 - Railroad rolling stock manufacturing,2014,141.166,9.8,116.592,3.7,3524.899,11.6,0.166,-3.5,113.716,-1.2,100.528,-0.2,160.528,8.5,102.529,4.9,2544.117,4.8,0.120,-9.1,58.927,4.9,123.268,0.6,133.521,13.1,21192.198,15.2,138.447,1.9,110.352,-2.8,149.148,17.1,15123.182,18.1,0.714,2.6,145.469,11.5,129.543,8.0,164.588,13.8,112.314,1.2,21192.198,15.2,72.915,-7.9,120.010,4.8,117.049,-0.1,170.639,5.0,96.454,8.4,27.200,8.4
336510 - Railroad rolling stock manufacturing,2015,129.044,-8.6,117.737,1.0,2383.615,-32.4,0.119,-28.3,105.731,-7.0,99.488,-1.0,136.440,-15.0,111.354,8.6,2619.906,3.0,0.131,9.2,63.999,8.6,111.397,-9.6,136.388,2.1,19953.181,-5.8,127.612,-7.8,100.555,-8.9,151.093,1.3,14949.660,-1.1,0.749,4.9,135.686,-6.7,123.112,-5.0,151.932,-7.7,114.556,2.0,19953.181,-5.8,81.342,11.6,123.585,3.0,110.983,-5.2,143.294,-16.0,106.028,9.9,29.900,9.9
336510 - Railroad rolling stock manufacturing,2016,96.546,-25.2,113.431,-3.7,569.796,-76.1,0.039,-67.2,110.279,4.3,99.821,0.3,106.469,-22.0,102.858,-7.6,2439.059,-6.9,0.168,28.2,59.116,-7.6,98.655,-11.4,111.006,-18.6,14501.379,-27.3,113.951,-10.7,92.869,-7.6,117.922,-22.0,11492.525,-23.1,0.793,5.9,114.645,-15.5,108.115,-12.2,109.512,-27.9,115.505,0.8,14501.379,-27.3,105.060,29.2,115.054,-6.9,111.857,0.8,116.979,-18.4,93.617,-11.7,26.400,-11.7
336510 - Railroad rolling stock manufacturing,2017,77.795,-19.4,114.615,1.0,985.274,72.9,0.083,112.8,125.407,13.7,100.611,0.8,97.560,-8.4,91.395,-11.1,2621.671,7.5,0.222,32.1,52.527,-11.1,107.950,9.4,82.598,-25.6,11808.325,-18.6,124.702,9.4,109.185,17.6,81.664,-30.7,8201.380,-28.6,0.695,-12.4,89.353,-22.1,89.826,-16.9,89.165,-18.6,115.518,0.0,11808.325,-18.6,138.696,32.0,123.668,7.5,135.312,21.0,112.252,-4.0,79.433,-15.2,22.400,-15.2
336510 - Railroad rolling stock manufacturing,2018,79.020,1.6,111.368,-2.8,759.419,-22.9,0.065,-21.7,116.587,-7.0,100.067,-0.5,92.127,-5.6,95.524,4.5,2512.834,-4.2,0.216,-2.7,54.901,4.5,107.739,-0.2,81.682,-1.1,11632.472,-1.5,124.223,-0.4,110.652,1.3,79.531,-2.6,8360.220,1.9,0.719,3.5,83.258,-6.8,85.452,-4.9,88.003,-1.3,115.300,-0.2,11632.472,-1.5,134.693,-2.9,118.534,-4.2,124.088,-8.3,107.432,-4.3,81.915,3.1,23.100,3.1
336510 - Railroad rolling stock manufacturing,2019,72.672,-8.0,110.414,-0.9,224.951,-70.4,0.021,-67.7,124.670,6.9,100.357,0.3,90.600,-1.7,88.565,-7.3,2613.688,4.0,0.244,13.0,50.901,-7.3,105.141,-2.4,76.316,-6.6,10717.801,-7.9,122.502,-1.4,108.102,-2.3,74.226,-6.7,7879.163,-5.8,0.735,2.2,83.810,0.7,85.863,0.5,80.240,-8.8,116.512,1.1,10717.801,-7.9,153.654,14.1,123.291,4.0,139.210,12.2,94.676,-11.9,84.752,3.5,23.900,3.5
336510 - Railroad rolling stock manufacturing,2020,,,,,,,,,,,,,91.203,0.7,88.226,-0.4,2527.840,-3.3,,,50.706,-0.4,,,,,,,,,,,,,,,,,,,,,80.464,0.3,115.658,-0.7,10668.996,-0.5,148.192,-3.6,119.242,-3.3,135.155,-2.9,95.742,1.1,84.043,-0.8,23.700,-0.8
337110 - Wood kitchen cabinet and countertop manufacturing,1987,,,,,,,,,,,,,70.941,,65.510,,1852.091,,,,233.437,,,,,,,,,,,,,,,,,,,,,,46.474,,62.085,,5405.961,,67.906,,31.558,,48.173,,68.555,,67.790,,126.700,
337110 - Wood kitchen cabinet and countertop manufacturing,1988,,,,,,,,,,,,,68.300,-3.7,66.780,1.9,1920.931,3.7,,,237.961,1.9,,,,,,,,,,,,,,,,,,,,,45.611,-1.9,64.707,4.2,5529.676,2.3,71.763,5.7,32.731,3.7,49.014,1.7,65.574,-4.3,69.556,2.6,130.000,2.6
337110 - Wood kitchen cabinet and countertop manufacturing,1989,,,,,,,,,,,,,64.503,-5.6,68.369,2.4,1908.190,-0.7,,,243.626,2.4,,,,,,,,,,,,,,,,,,,,,44.101,-3.3,66.802,3.2,5519.646,-0.2,73.728,2.7,32.514,-0.7,47.557,-3.0,62.207,-5.1,70.894,1.9,132.500,1.9
337110 - Wood kitchen cabinet and countertop manufacturing,1990,,,,,,,,,,,,,66.397,2.9,66.753,-2.4,1936.959,1.5,,,237.867,-2.4,,,,,,,,,,,,,,,,,,,,,44.322,0.5,68.831,3.0,5715.857,3.6,74.465,1.0,33.005,1.5,49.443,4.0,62.804,1.0,70.572,-0.5,131.900,-0.5
337110 - Wood kitchen cabinet and countertop manufacturing,1991,,,,,,,,,,,,,63.607,-4.2,61.474,-7.9,1820.651,-6.0,,,219.054,-7.9,,,,,,,,,,,,,,,,,,,,,39.102,-11.8,70.663,2.7,5176.853,-9.4,79.338,6.5,31.023,-6.0,50.465,2.1,60.648,-3.4,64.473,-8.6,120.500,-8.6
337110 - Wood kitchen cabinet and countertop manufacturing,1992,,,,,,,,,,,,,69.440,9.2,64.279,4.6,2070.323,13.7,,,229.052,4.6,,,,,,,,,,,,,,,,,,,,,44.635,14.2,72.342,2.4,6049.886,16.9,79.034,-0.4,35.277,13.7,54.881,8.8,68.101,12.3,65.543,1.7,122.500,1.7
